,Chlortetracycline,Control,Penicillin,Vancomycin,VancomycinPenicillin
OTU_2,-0.007215128101006601,0.010585178116654671,-0.03349683747515198,0.014174506486861922,0.01595054803482883
OTU_81,0.024588927564350285,0.016061042701156224,-0.04623768421917818,-0.038423434153468765,0.04400815217156578
OTU_6,0.03891585351472948,0.2980670599461434,-0.06506926332724808,-0.12697142725196747,-0.144939454512776
OTU_59,-0.12104015528483751,0.16672036086606654,-0.25244143508294337,0.39727736793210566,-0.1905133199968825
OTU_87,0.137882249856844,-0.2942495369216151,0.2226267048230168,-0.18777464236138994,0.12151236748333871
OTU_92,-0.10438363729352887,-0.006857948030363161,0.18750365474130623,-0.08726316893860823,0.011004023773156561
OTU_42,-0.1526139156502849,0.012058819889484403,0.21985942905428368,-0.05963160953160031,-0.019670293329419657
OTU_72,0.018303066388673968,0.12021441249431856,-0.10589443760770374,-0.10872323847007137,0.07609751757685268
OTU_105,-0.05938641240887287,-0.05281743175052823,0.13153654734452686,-0.046465841107385185,0.027136343219023598
OTU_23,0.09538508359728759,-0.09968972160651303,0.13910383053521277,0.02411090337973036,-0.15891308728977366
OTU_95,-0.10828614414473134,0.060297071097285146,0.010283885139585771,0.0644999712177654,-0.026797351419353042
OTU_82,0.21449575142395536,-0.14219544311554144,-0.1461360926718619,0.006536682996673602,0.06730033477770227
OTU_26,-0.14214195574005214,-0.010125744362602608,0.04715426442652996,0.22360882639989405,-0.11849496743945798
OTU_41,0.03733184613856298,0.2079038032564262,-0.02174928258431954,-0.06605602566970273,-0.15742918166932032
OTU_99,-0.1317782941868356,-0.05044010932999417,0.14918130182386974,-0.10228141442612303,0.13532134593092127
OTU_103,0.18563377937482936,0.03350012998719186,-0.07821644993064582,-0.1117842747466644,-0.029130326427063036
OTU_3,-0.008045536518966816,0.07016497067421539,0.02248740259217567,-0.04462863641628296,-0.039977212673552705
OTU_51,0.10219578038731347,-0.04870586767444442,-0.11687292605577787,0.06606481137595958,-0.0026792219579483377
OTU_48,-0.0971117595717758,0.11288715611177295,-0.0037498928634308788,-0.01169696590859835,-0.00032679685163115445
OTU_27,-0.06387372133280629,-0.014143849802906575,-0.010858009109673702,0.043163490696383415,0.045712965697286924
OTU_57,0.009442800775831343,-0.11175015430876056,0.01261999174310802,-0.036724886372939275,0.12641198303444148
OTU_12,0.19457381123002793,-0.0835327079796337,-0.14247649990736708,0.1722532622724372,-0.14081504718194995
OTU_28,-0.0290711602334582,-0.11020390222841406,-0.06501410010230328,0.18489377554636574,0.01939804843040002
OTU_61,0.08575797840584261,0.013044866882775327,-0.02429273925945741,-0.10247424948349412,0.027962362725595005
OTU_93,0.03428068760232001,0.10293700849363359,0.058769112920687115,-0.16898272966059877,-0.027006847724923424
OTU_39,-0.034918481170374376,0.041029013006603096,0.007368614426128435,0.024319489102009845,-0.03780097476936884
OTU_11,-0.10561147076820096,-0.12108534053110143,0.03008658768245586,0.22216149597347343,-0.025548434579963177
OTU_107,-0.08479429043911811,-0.13650600654495887,0.21306044108777428,0.1723549630071706,-0.164112302331346
OTU_24,0.07067890947659738,0.12998493008839912,-0.04712817807088971,-0.03015561062324444,-0.12337815066896556
OTU_18,0.007180230603113793,-0.03713464321006737,-0.08078640048270799,0.07886114349181392,0.03187738025680356
OTU_60,0.07412465712090602,-0.0989113315733197,-0.07661139373265424,0.035088912999854296,0.06630646077545983
OTU_45,0.04800689788451229,-0.09118700628717023,0.06152301976939082,-0.08307369183024015,0.06472800412979812
OTU_7,-0.02532936496799023,-0.059438996439163595,-0.11503106746884369,0.056167482559484415,0.14363477271485198
OTU_37,-0.04976788409505834,-0.08569295977665806,0.029185035278098192,0.031021638426341994,0.07525278085486588
OTU_44,-0.025981115518383367,-0.04835304001256115,0.11861460378528128,0.03287831583279707,-0.07715638258154218
OTU_29,0.12127111484670854,-0.1259655915137293,0.18799273137255113,0.10056435555958011,-0.28386548559023284
OTU_62,0.12713001363826118,0.09791193315932128,0.11369336271856488,-0.11361952088347582,-0.2251184853180839
OTU_94,0.14547457045511908,-0.24884141497342205,-0.09200890872374906,0.044387957003249746,0.15098543407641973
OTU_78,-0.09392323249424457,0.013698605676208847,0.0374642974100937,-0.14495456386103805,0.18771395909118527
OTU_69,0.026745041491933127,-0.03082354128254946,0.06679201682477147,-0.0708875914190477,0.00817152561773686
OTU_74,0.011368021150140637,-0.18592812426288194,0.0763579754560587,0.04190534363210847,0.056289327741495074
OTU_19,-0.08783995003764863,-0.14106440092472658,0.11190663928042135,0.08950343932825844,0.027491485779495718
OTU_63,-0.05276617003986377,-0.04708431530518316,-0.06625350034224915,0.3689644155667278,-0.2028520109895495
OTU_84,0.1372842347874492,0.061163469451964124,-0.1316616102609965,-0.2206472004730061,0.15385887063199627
OTU_47,-0.03228671515973173,0.16998116739182326,-0.12559279564256692,-0.13589255368012262,0.12379357898419624
OTU_50,-0.03325577935642081,0.03594790528723419,-0.007862827107716146,0.02173275278152873,-0.016561747793635822
OTU_71,-0.02455638148736795,-0.1481683592641095,0.18477968944192172,0.08126527963198357,-0.09331772734422544
OTU_68,0.04548603545176109,-0.0037689191523130184,-0.12884347659511558,-0.07929146031136475,0.16641808118074228
OTU_67,-0.12396815336242069,0.2536764021443586,-0.2753154603719563,-0.14228960991457965,0.28789963652461675
OTU_52,0.19893377693651845,-0.044859982011171834,-0.09507141748120114,0.11030013715517573,-0.16929970981979664
