feature_names,importance
8982,0.0879208898918333
4502,0.05903572709982112
603,0.05440396709843625
2287,0.05345621136858304
2355,0.04517851752529099
15031,0.04162996227836531
15788,0.0348430761074139
2798,0.0337956539488003
5897,0.033636382357338776
4560,0.029746135491723384
8983,0.028597262834025288
7137,0.028425994177474698
15877,0.027698489643880955
6910,0.02545883606714082
1433,0.023731020924220983
6293,0.023309987594876826
1759,0.023261445201120407
3431,0.021307138602643046
6767,0.020163133502819133
6444,0.019449417523411734
4965,0.018890483855357108
7441,0.018336279176119862
2799,0.01696454832939458
10220,0.016673883874955733
13508,0.01653044916269092
2179,0.016000277605858287
13947,0.014502227237744662
13563,0.012799280481725173
14457,0.012246570979394147
12770,0.011955903327997303
93,0.011511322990348145
10406,0.011484206558641892
2272,0.011314181092868053
9378,0.009840828580647174
6771,0.008513770928204295
11342,0.008505704810031336
14218,0.008472649009852347
7472,0.008351810064104494
13645,0.008018782690346424
6675,0.007310523240973969
4540,0.0064017701882033455
11915,0.006167319598712372
5630,0.00590872282536075
10926,0.005715005217219474
4257,0.005306988705713695
14789,0.002731825324817447
12371,0.002177765498537602
5475,0.0008439100064636421
15830,0.0008213424177510368
9144,0.0006524169807445339
