,Anterior_nares,Buccal_mucosa,Stool,Supragingival_plaque,Tongue_dorsum
308,-0.18467317835053357,0.6496731756116998,-0.28121644064474216,0.006335490065416609,-0.08501799921217999
247,0.0,0.0,0.0,0.0,0.0
316,0.0,0.0,0.04344725328054246,0.0,-0.028493633220910777
9,0.25447538605393305,-0.09823246153617388,-0.0006351164405425913,-0.02217881494216824,-0.006760974402771825
160,0.0,0.0,0.03411318765397291,0.0,0.0
96,-0.12410146655357149,-0.43576928711144086,0.4979323665393344,-0.16731844523364783,0.28003410527711664
299,0.0,-0.6050454779857503,-0.1643115862586087,0.5273585415553818,0.2751905883455089
281,0.0,0.17990852229001403,0.0,-0.052458622235876703,-0.11366579103932403
7,0.0,0.0006811511733386598,0.0,0.0,-0.021259081847066475
256,0.7245259273269858,-0.2167481209835906,-0.1559051339444121,-0.3239410446074676,0.05082679565507297
26,-0.0206253065883738,0.04583872346327129,0.1936962333321864,-0.053202460667475124,-0.10014091627295252
31,-0.1334790803538153,-0.11021369674910515,-0.015014028680667337,-0.6553648497469412,1.0407143316784444
17,-0.038839864824818264,0.19253361131289415,0.0,-0.20689779305763145,0.08169632789470886
259,-0.15431375721596696,0.1435551065791388,0.6470652947528736,-0.16398304136265018,-0.422427790934212
179,0.4438447882741561,-0.0531532208569345,-0.22369757203131171,0.5157013238709862,-0.640471265306757
184,0.0,-0.12408832384249437,0.0,0.06385821178565136,0.041825700821077144
151,0.17921478084193224,0.3871031322497439,0.0,-0.14670815200059753,-0.3882895463432701
295,-0.03329830414905484,-0.07891218063877443,0.30945739840712433,-0.14109122447249645,0.03136685212328271
55,0.039105045583104465,-0.32742821217806783,0.0,0.40437365109277545,-0.08841769159374453
158,-0.019446019100439856,0.20392087362734615,0.0,0.0003860795644762021,-0.09448676758266256
220,0.7084891758098626,0.17110955408518402,-0.25797102673622213,0.30681536536581927,-0.9686692298449887
305,0.0,-0.19353692021754337,0.07312257271269314,0.003534617838949896,0.07274072908489629
21,-0.11666219221923077,0.32779587525465415,-0.005806268462352523,-0.30381802580297473,0.14073377302547202
277,0.0,0.15691849299824398,0.0,0.24448511502809214,-0.4087423004186417
134,-0.10328645864632409,0.016725021506783577,0.48748458512150905,-0.16870232523914674,-0.17500316276025368
54,0.269150955252789,0.0353213653170486,0.0,0.07411256670724314,-0.40399194730473126
286,0.08468372143694378,0.0,0.0,-0.048614132143214826,0.0
79,-0.3550924048302857,0.10302766128989775,-0.06503112902209204,0.6768241728850874,-0.31751253292066706
214,0.0,0.07392646823226671,0.0,0.0,-0.09602157370176444
307,0.07130656549038775,0.034158522044021485,0.0,-0.242267284786598,0.09332543797925004
159,-0.07920774216306399,0.013074738032302555,0.0,-0.40867717789233693,0.5282737659094424
99,-0.021295325176324358,-0.21873949802468445,0.3042923549100369,-0.0828624856512986,0.10057729489862814
60,0.0,-0.10332059350169578,0.0,-0.00839028189234606,0.13010366587478828
203,-0.07446340291669006,-0.21677044515403368,0.0,0.27770438356013166,0.04912556817248165
23,0.0,0.0,0.0,0.0,0.0
56,-0.00012185260143481196,0.6661623151642363,-0.12885457695002564,-0.2341995241178716,-0.23754464757519497
133,0.054575734263344396,0.07381938430002496,0.34233260279715966,-0.28922115997363446,-0.1995361681408659
182,0.1603832269215628,0.03255005054192938,0.0,-0.04592678180376592,-0.11812605981801474
4,0.0,0.0,0.017266671883467075,0.0,0.0
318,0.0,0.334632564067617,0.0,0.021604608654946164,-0.3640733866464187
183,0.0,0.0,0.1653876429449558,0.0,-0.09313121774535722
314,-0.05140319543501268,0.12332399968458681,-0.19213000223487547,-0.17768777384101353,0.34008051087991437
227,0.0,0.0,0.0,0.0,0.0
194,0.0,-0.08288376062109797,0.0,0.03822952507778701,0.02799502505960292
289,-0.07621202777376314,0.24736365590642598,0.4852581056202919,-0.14541992416697658,-0.4678247714650009
69,0.0,0.11030174672024483,0.0,-0.19096576545252134,0.06286033524117002
229,-0.28849690619813273,-0.04268850634226395,-0.1623750396842034,-0.0001865089012934106,0.6061860321131267
221,0.0,0.005747311152771543,0.0,0.0,-0.010609104078214662
149,0.0,0.07397970777555335,0.0,-0.047275909233915614,-0.0388266398220537
226,0.0,0.08418347449007797,0.0,-0.12685723852953174,0.015086959398179783
