,IGT,NGT,T2D
OTU_1,-0.0019736474623023156,-0.0013057971156714737,0.004104891988442166
OTU_1291,-0.003974510227812302,0.010641289226239845,-0.002429756546910581
OTU_535,-0.001320034886952097,-0.00847222691668348,0.014877345750128921
OTU_1318,0.0057705206338132435,0.006924802902819344,-0.007124471435801804
OTU_435,0.008838440744827092,-0.002810000339722789,-0.00014092019432319518
OTU_1189,-0.00047398225576399984,0.006352166445179534,-0.001103425609158891
OTU_1226,-0.0029165981413130804,0.003393071159306749,0.004285946125225586
OTU_1397,0.011132499947484319,-0.006033389008865326,0.000414401465440837
OTU_1296,-0.0020649350550712795,0.006317987148740879,-0.00024064668721651564
OTU_701,0.0006160055496679388,0.009824113490022317,-0.005589706165447947
OTU_1201,0.012130592289023292,-0.005349358611590154,-0.0012025076152040709
OTU_481,-0.002354554216215646,-0.0004769462565175798,0.009054109677522975
OTU_544,0.005197377546787832,-0.008664901395901863,0.009060516395343401
OTU_1404,0.0015700929548849282,0.009773948427051904,-0.007158688929665472
OTU_72,-3.379427417439663e-05,-0.0033074940952298702,0.009222274399180528
OTU_1198,0.00513537463294469,0.00014906765964987185,0.0007932864891495064
OTU_1311,-0.004429606677535922,0.010640872650523827,-0.002062430284334348
OTU_941,0.010710648429532052,-0.0010045398471713962,-0.0046445775022323854
OTU_113,-0.007890815284160996,-0.0037818846524327915,0.017234938109473033
OTU_924,-0.0008349383635902648,0.005737210548885486,-0.005402777996304694
OTU_1293,-0.005280796424252295,0.01303109186946738,-0.0031520914604388777
OTU_496,0.0016798931221243662,-0.008539905278173218,0.012638074265282077
OTU_85,0.008154459446156309,-0.0007485041527351665,-0.002464924666751222
OTU_752,-0.0005766925519607162,0.008238949504036523,-0.0029271225484237703
OTU_1309,0.00322059604053148,0.008628779923949314,-0.006991882377187516
OTU_1408,0.0014408480358088895,0.014259276643306932,-0.012076934935390119
OTU_1371,-0.005642816454069692,0.009210899667671782,0.0010433124569560256
OTU_433,-0.004196241179806126,-0.0037488981914349296,0.013203096699129847
OTU_1160,0.012589407065586646,-0.006313106520211133,-0.0010357590274074316
OTU_1433,0.0011796070958207713,0.011346665192394844,-0.008047747428767528
OTU_14,-0.00692686195936564,0.011379903571924855,0.0003319379613777418
OTU_465,-0.008726212009201388,0.006336465831264144,0.0076063647218116105
OTU_56,0.016690888232005627,-0.012848698231340454,0.0018962564922605284
OTU_773,-0.009001345910687854,0.006326270876109593,0.007183907314637864
OTU_663,0.006307118987504359,0.003727698414914156,-0.0056013110700243885
OTU_42,-1.7809335314207686e-05,0.0004631704438546475,-0.00044327904910240246
OTU_486,-0.0017397103735193526,-0.004496891960992655,0.011172984812623188
OTU_107,0.0011654061729166089,0.009847823679819352,-0.006462694303454577
OTU_99,0.007031210254510006,-0.004036736580176434,0.0023980656592067296
OTU_1184,0.00641146361989443,-0.004821614905688887,0.003697647299125774
OTU_1040,-0.0009316781143933265,0.009925032033300685,-0.004681462247690587
OTU_1216,-0.0016099435412344684,0.004215386223150664,0.002652509324599715
OTU_1375,-0.005696361047484421,0.007402040783381064,0.0032096663506637996
OTU_87,0.006444815765042979,0.004588932981560336,-0.006895372912902979
OTU_578,-0.0005289479737851089,-0.00788188994148992,0.013438213294688351
OTU_1343,-0.013626868367501639,0.013658040607560477,0.004457662499708014
OTU_1134,0.011603724636344771,-0.004405772015945607,-0.0019999279594949096
OTU_407,0.005118180379186243,-0.0065696110696408455,0.007352658985254505
OTU_726,0.01532087521062564,-0.011363661587949754,0.0013268453283794492
OTU_101,0.0005004306374203298,-0.0035869065837820014,0.007410200942337826
