features,j_cmi,MIfy
OTU_1,0.9984628557283827,0.9984628557283827
OTU_2311,-0.07490580970541844,0.2473086489915971
OTU_4123,-0.07546120093879882,0.20859949859768323
OTU_2321,-0.07751732220852176,0.19336837520095884
OTU_4888,-0.07405123947090492,0.19082339480718102
OTU_1714,-0.06896428696080975,0.18713443210656278
OTU_7036,-0.07599555108430772,0.17959141368316678
OTU_5614,-0.07086500680394076,0.17543779160341677
OTU_1732,-0.0779422126666604,0.17477357694709494
OTU_7403,-0.07655751152724463,0.17149174705261705
OTU_2446,-0.0762038960584708,0.17149174705261705
OTU_4515,-0.07873009422081145,0.1661715226320103
OTU_4168,-0.07716893953124834,0.16222287719676298
OTU_2472,-0.0794477188077938,0.15958740546122063
OTU_1216,-0.07693953364702877,0.15912066237443956
OTU_8405,-0.10565122291269219,0.15912066237443956
OTU_6029,-0.07573650553663341,0.15736036909403672
OTU_1526,-0.17197478812541517,0.1558988099610651
OTU_2979,-0.07920350413235042,0.1555402700759413
OTU_2081,-0.07474214171223761,0.1555402700759413
OTU_1167,-0.07378166592281749,0.15308433604199767
OTU_1733,-0.08823071848231023,0.1530461834610518
OTU_4763,-0.07304842432737685,0.1530461834610518
OTU_7793,-0.07500125780968334,0.14965092314502904
OTU_202,-0.106028375672439,0.14666028858752467
OTU_1264,-0.08231988725082781,0.14666028858752467
OTU_1906,-0.13072859555656208,0.14666028858752467
OTU_16,-0.07032272484662447,0.14506666156958314
OTU_6395,-0.08380439355431607,0.14347735671722106
OTU_6391,-0.07706675334295343,0.14347735671722106
OTU_1494,-0.07732074377448889,0.1403133142570686
OTU_7494,-0.2649629958277714,0.1340415372184932
OTU_2974,-0.07484599813962864,0.13163975630872582
OTU_3520,-0.08346388684856643,0.13163975630872582
OTU_5497,-0.0746762550379933,0.1304601040073049
OTU_3111,-0.07385748923909968,0.1304601040073049
OTU_253,-0.07480372580494657,0.1304601040073049
OTU_6187,-0.09215663046509812,0.12641343244024938
OTU_6777,-0.13991050861048188,0.12465747163919227
OTU_6033,-0.07346219142224403,0.12329284987113687
OTU_2912,-0.0776079359900243,0.12329284987113687
OTU_2550,-0.07445005553365489,0.11775977478401989
OTU_6028,-0.18635047724520004,0.11775977478401989
OTU_5735,-0.07575363475686625,0.11775977478401944
OTU_6235,-0.0756950793856127,0.11621321610961599
OTU_3719,-0.09084599509979344,0.11621321610961599
OTU_499,-0.723379914479546,0.11565965092384456
OTU_4427,-0.3509383780192485,0.10921901669773115
OTU_5948,-0.13196495501139877,0.10921901669773115
OTU_5034,-0.07736218252804508,0.10921901669773115
